Time(ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp_C
405822,6.65,-7.13,2.18,-0.08,0.01,-0.01,36.20
406347,6.65,-7.39,2.22,-0.10,0.01,-0.02,36.25
406875,6.66,-7.34,2.02,-0.10,-0.01,-0.02,36.25
407442,6.76,-7.22,2.05,-0.11,-0.02,-0.05,36.25
407968,6.43,-7.12,2.01,-0.11,0.02,-0.02,36.29
408496,6.87,-7.46,2.44,0.24,-0.45,0.69,36.29
409022,-0.81,-12.55,-8.40,1.20,-3.61,-1.61,36.25
409552,0.34,-9.50,0.40,-0.87,1.98,0.03,36.34
410075,5.92,-7.85,1.09,0.45,-0.43,-0.45,36.34
410603,4.07,-9.19,0.33,-0.01,0.04,0.03,36.29
411126,4.91,-8.69,0.68,-0.04,0.15,-0.04,36.39
411655,4.44,-8.46,-0.55,-0.87,0.69,-0.18,36.34
412176,6.83,-7.70,0.83,-0.05,-0.14,0.11,36.34
412705,3.44,-9.61,2.18,-0.04,-0.14,0.07,36.44
413229,4.09,-9.14,1.75,-0.07,-0.11,-0.10,36.39
413757,5.29,-8.07,1.67,-0.11,1.46,-0.41,36.39
414281,2.66,-9.07,5.26,-0.53,1.55,-1.36,36.44
414811,3.08,-7.60,6.06,-0.88,1.09,-0.58,36.34
415337,6.97,-8.67,5.99,-0.63,0.67,-0.47,36.34
415866,6.08,-5.81,4.94,-0.99,0.75,-0.32,36.48
416392,5.52,-6.93,4.66,-0.30,0.79,-0.32,36.39
416919,3.62,-10.23,5.29,-0.73,0.71,-0.44,36.39
417448,4.57,-8.23,1.70,-0.27,0.57,-0.45,36.34
417974,1.98,-9.47,6.45,-0.20,0.94,-0.33,36.44
418503,6.40,-7.23,5.52,0.11,-0.57,0.65,36.48
419028,4.37,-6.61,4.60,-0.54,-0.72,-0.60,36.39
419558,4.33,-7.45,3.52,0.48,0.23,0.52,36.39
420127,3.63,-7.99,2.64,0.35,-0.37,-0.26,36.34
420656,4.86,-9.28,3.86,-0.98,0.74,-0.24,36.44
421179,-2.89,-5.79,4.33,0.15,0.69,-0.13,36.53
421709,4.62,-6.28,4.96,-0.18,-0.47,-0.41,36.48
422278,3.84,-6.46,6.44,-0.41,-1.36,0.74,36.48
422808,10.05,-11.47,0.57,0.40,-0.13,0.54,36.44
423333,2.94,-8.85,2.54,-0.21,-0.54,-0.37,36.44
423862,2.82,-7.43,3.44,-0.75,0.08,-0.04,36.53
424388,-5.19,-6.53,0.65,0.23,1.13,0.14,36.48
424916,12.72,-4.03,1.95,-0.88,-0.98,-0.26,36.48
425445,5.55,-2.92,1.20,0.11,-0.84,-0.25,36.48
425971,5.59,-5.09,2.85,-0.17,-0.97,0.02,36.39
426500,4.78,-7.24,2.75,0.35,-0.79,-0.21,36.53
427027,1.09,-9.09,4.49,0.00,0.16,-0.70,36.39
427557,-0.90,-11.00,3.86,0.37,0.11,-0.20,36.48
428081,0.84,-9.27,2.46,0.25,0.08,0.12,36.48
428609,7.13,-6.78,0.23,-0.44,-0.83,-0.58,36.58
429132,4.56,-6.97,2.72,-0.02,-0.17,-0.69,36.53
429663,4.86,-8.20,3.31,0.12,0.01,-0.28,36.53
430185,8.03,-4.82,1.56,-1.31,0.94,-0.77,36.48
430715,3.70,-5.32,4.44,-0.65,-0.49,-0.36,36.58
431238,3.03,-6.63,3.00,0.23,-0.41,0.17,36.58
431766,3.48,-7.54,2.06,-0.05,-0.76,0.11,36.53
432290,3.22,-11.37,0.85,-0.78,0.76,-0.30,36.53
432821,5.27,-4.48,2.66,-0.67,0.31,-0.05,36.58
433346,2.39,-9.47,1.95,-0.32,0.40,-0.24,36.67
433876,7.18,-9.90,1.48,-0.37,0.22,0.10,36.58
434403,2.34,-7.07,3.09,-0.15,-0.69,-0.17,36.53
434930,3.81,-9.17,2.00,-0.06,-0.02,-0.21,36.62
435458,4.52,-7.26,1.71,-0.31,1.09,-0.15,36.58
435984,5.69,-7.30,3.06,-0.15,0.08,-0.12,36.48
436559,6.03,-7.53,2.19,-0.16,0.11,-0.04,36.67
437083,8.02,-7.56,3.11,-0.01,0.11,-0.03,36.62
437657,6.65,-7.28,2.44,-0.14,0.07,-0.02,36.62
438179,7.00,-7.26,2.37,-0.09,0.03,-0.02,36.53
438709,6.23,-7.18,1.86,-0.07,-0.23,0.17,36.67
439232,6.33,-7.76,2.09,-0.06,-0.38,0.11,36.58
439760,5.94,-8.38,1.86,-0.16,-0.06,-0.06,36.58
440284,6.34,-7.73,1.69,-0.07,-0.04,-0.02,36.62
440814,6.79,-7.30,1.88,-0.13,0.03,-0.02,36.62
441339,5.84,-7.70,1.68,-0.07,0.03,-0.02,36.62
441868,6.27,-7.57,1.67,-0.09,-0.04,-0.03,36.67
442441,6.20,-7.47,1.70,-0.10,-0.01,-0.01,36.67
442968,6.39,-7.38,1.72,-0.09,0.04,-0.03,36.67
443497,6.45,-7.35,1.70,-0.09,-0.01,-0.03,36.62
444022,6.53,-7.38,1.52,-0.12,-0.00,-0.01,36.62
444553,6.54,-7.42,1.49,-0.11,0.02,-0.03,36.67
445077,6.28,-7.20,1.42,-0.11,0.05,-0.01,36.67
445605,6.67,-7.28,1.52,-0.09,0.02,-0.01,36.77
446128,6.42,-7.41,1.46,-0.10,0.02,-0.04,36.81
446658,6.69,-7.30,1.45,-0.09,0.01,-0.01,36.72
447180,6.69,-7.29,1.46,-0.12,0.03,-0.01,36.72
447710,6.74,-7.37,1.41,-0.08,0.02,-0.02,36.67
448233,6.79,-7.26,1.31,-0.09,-0.00,-0.03,36.67
448761,7.15,-7.40,1.49,-0.12,0.06,-0.00,36.77
449285,6.77,-7.34,1.30,-0.10,-0.02,-0.01,36.77
449815,6.75,-7.21,1.30,-0.10,-0.04,-0.01,36.72
450341,7.28,-7.41,1.24,-0.17,-0.06,0.03,36.77
450870,4.39,-8.21,2.22,0.04,0.26,0.59,36.77
451397,5.36,-8.36,1.97,-0.09,-0.05,-0.08,36.77
451925,5.29,-8.13,2.29,-0.14,0.00,-0.09,36.67
452453,5.49,-8.09,2.09,-0.05,-0.04,-0.06,36.81
452979,5.82,-7.94,2.01,-0.08,-0.02,-0.04,36.72
453548,5.68,-8.13,2.02,-0.08,0.00,-0.02,36.77
454072,5.73,-7.95,1.96,-0.09,0.01,-0.05,36.86
454601,5.88,-7.79,1.83,-0.12,-0.02,-0.03,36.77
455168,5.81,-7.90,1.78,-0.11,-0.01,-0.02,36.86
455698,5.68,-7.62,2.00,-0.06,-0.03,0.02,36.72
456266,5.52,-10.28,1.54,-0.07,0.06,-0.03,36.72
456793,5.78,-7.81,1.62,-0.11,-0.04,-0.01,36.81
457363,6.16,-7.82,1.83,-0.04,-0.04,-0.06,36.86
457891,6.41,-7.78,1.89,-0.11,0.19,-0.10,36.95
458463,6.59,-6.52,3.24,-0.24,0.46,-0.18,36.86
458990,5.99,-7.21,3.52,-0.16,0.02,-0.04,36.86
459519,6.29,-7.35,3.14,-0.17,-0.06,-0.05,36.86
460044,6.41,-6.73,2.95,-0.16,0.03,-0.10,36.91
460574,6.34,-7.07,3.14,-0.11,0.01,-0.02,36.91
461098,6.50,-7.09,3.11,-0.10,-0.01,-0.01,36.95
461628,6.76,-6.95,3.08,-0.13,-0.02,-0.02,36.86
462151,6.64,-6.96,2.98,-0.10,0.00,-0.02,36.86
462681,6.58,-7.06,3.02,-0.09,-0.02,-0.03,36.91
463208,6.78,-7.07,2.88,-0.10,-0.02,-0.01,36.91
463776,6.58,-7.22,2.75,-0.08,-0.03,0.00,36.91
464301,6.64,-6.98,2.75,-0.12,-0.00,-0.02,36.95
464832,6.65,-7.04,2.69,-0.09,-0.01,-0.01,36.95
465359,6.46,-7.08,2.73,-0.14,0.01,-0.04,36.95
465889,6.91,-6.94,2.65,-0.09,-0.02,-0.01,37.09
466417,6.74,-7.03,2.64,-0.09,0.03,-0.01,36.91
466946,6.16,-6.87,2.55,-0.10,-0.04,-0.02,37.00
467476,6.81,-7.13,2.61,-0.10,0.05,-0.00,36.95
468003,7.28,-8.16,1.99,0.24,-0.33,0.41,36.95
468533,4.69,-8.20,1.12,-0.15,-0.21,0.05,37.05
469059,-0.67,-9.61,-1.72,0.31,-1.66,0.67,37.00
469591,1.30,-9.98,-0.90,0.67,-0.10,-0.31,36.91
470161,1.37,-10.59,-0.71,0.14,0.58,-0.76,37.00
470691,4.53,-7.75,2.79,-0.07,0.12,-0.21,36.95
471215,5.78,-8.28,1.64,-0.10,-0.06,0.08,36.95
471789,5.78,-8.43,1.56,-0.04,0.03,-0.00,37.05
472314,6.25,-7.70,1.61,-0.12,-0.12,-0.07,37.05
472845,6.41,-7.54,1.69,-0.12,0.05,-0.02,37.00
473373,5.84,-7.44,1.34,-0.05,-0.13,0.02,37.00
473902,5.89,-7.66,0.97,-0.11,-0.11,-0.03,37.00
474430,6.21,-7.38,1.07,0.11,0.13,-0.12,37.05
474958,5.25,-6.67,1.36,0.30,0.00,0.01,37.05
475488,4.68,-7.06,1.27,-0.17,-0.69,-0.14,37.05
476015,5.67,-9.06,2.33,0.30,0.32,0.07,37.09
476546,10.57,-10.18,0.49,0.01,0.26,0.28,37.09
477072,4.69,-7.79,2.66,-0.12,-0.25,-0.24,37.00
477601,4.08,-6.44,0.21,0.51,-0.19,-0.15,37.14
478126,5.89,-5.36,1.24,0.34,-0.65,-0.26,37.05
478656,4.73,-9.32,2.34,-0.24,0.10,0.08,37.14
479180,5.70,-8.77,1.22,0.02,-0.06,-0.06,37.00
479712,4.36,-7.96,0.58,0.08,-0.18,-0.02,37.00
480236,5.19,-7.44,2.54,-0.02,-0.10,0.05,37.00
480765,5.39,-8.67,1.25,-0.10,0.04,-0.00,37.05
481290,5.72,-8.24,1.53,-0.07,-0.05,-0.05,37.05
481821,5.75,-8.19,1.37,-0.11,-0.04,-0.03,37.05
482347,5.73,-7.98,1.41,-0.11,-0.03,-0.02,37.14
482877,6.41,-8.31,1.24,-0.09,0.08,-0.02,37.09
483406,6.00,-7.89,1.20,-0.10,-0.09,-0.04,37.09
483934,5.87,-7.91,1.19,-0.09,-0.03,-0.04,37.05
484464,5.99,-7.80,1.13,-0.10,-0.02,-0.03,37.14
484991,5.76,-7.76,1.00,-0.04,-0.17,-0.07,37.14
485521,5.91,-7.79,0.99,-0.15,-0.01,-0.03,37.09
486047,6.06,-7.52,1.18,-0.10,-0.01,-0.03,37.09
486578,6.46,-7.59,1.12,-0.08,-0.03,-0.06,37.09
487148,6.26,-7.31,0.85,-0.08,-0.06,-0.05,37.19
487680,6.24,-8.31,1.19,0.26,-0.09,0.12,37.14
488203,6.39,-7.46,1.02,-0.06,-0.24,0.08,37.14
488733,5.82,-8.23,1.17,-0.64,0.07,-0.18,37.24
489257,6.25,-6.94,1.27,-0.18,-0.01,-0.07,37.28
489786,7.13,-6.76,1.29,-0.16,-0.01,-0.04,37.14
490312,5.71,-7.91,1.06,-0.08,0.12,-0.12,37.19
490843,7.46,-7.52,0.73,-0.13,-0.09,-0.15,37.19
491370,6.35,-7.27,0.54,-0.15,-0.08,-0.02,37.24
491900,6.32,-7.36,0.30,-0.09,-0.03,-0.02,37.24
492428,6.17,-7.29,0.27,-0.08,-0.02,-0.04,37.24
492956,6.75,-7.51,0.23,-0.09,0.00,-0.04,37.19
493485,6.98,-7.61,0.15,-0.08,0.15,0.01,37.19
494012,6.48,-7.34,0.26,-0.08,-0.06,-0.02,37.19
494589,6.90,-7.25,0.23,-0.06,0.05,-0.01,37.28
495113,6.77,-7.30,0.23,-0.11,0.01,-0.01,37.24
495643,7.09,-7.17,0.17,-0.03,0.18,-0.04,37.33
496169,6.71,-7.27,0.04,-0.09,-0.09,-0.03,37.24
496700,7.15,-7.39,0.40,-0.12,-0.04,-0.03,37.19
497224,6.60,-7.52,0.77,-0.07,0.03,-0.03,37.19
497754,6.98,-7.18,0.83,-0.09,-0.15,-0.04,37.38
498279,6.52,-7.21,0.78,-0.10,0.01,-0.02,37.24
498808,6.76,-7.31,0.74,-0.07,0.04,-0.04,37.33
499334,7.32,-7.19,0.92,-0.10,-0.04,-0.02,37.33
499864,6.32,-6.98,0.58,-0.14,-0.00,-0.02,37.24
500392,6.73,-6.68,-0.21,-0.47,1.02,-0.09,37.28
500921,5.14,-7.17,2.09,-0.44,1.53,0.20,37.28
501496,3.89,-7.60,4.49,-0.69,0.66,-0.34,37.28
502023,5.65,-6.72,3.21,-0.42,0.13,0.15,37.28
502554,3.56,-8.39,1.95,-0.19,-0.21,-0.31,37.24
503079,5.60,-7.49,2.06,-0.38,1.05,-0.03,37.33
503654,5.25,-7.62,3.21,-0.29,0.26,-0.14,37.24
504178,4.30,-9.06,2.57,0.11,-1.15,0.21,37.33
504708,7.14,-8.43,0.30,0.28,-0.77,-0.12,37.33
505231,4.10,-9.19,0.08,-0.05,-0.32,-0.01,37.28
505760,5.68,-7.86,0.73,-0.09,0.16,-0.02,37.38
506284,5.57,-7.80,0.86,-0.11,0.02,-0.05,37.42
506815,5.17,-8.17,0.68,-0.08,-0.06,-0.07,37.42
507341,5.23,-8.53,0.55,-0.10,-0.06,-0.03,37.42
507872,5.63,-8.02,0.86,-0.12,0.02,-0.03,37.38
508400,5.54,-8.12,0.98,-0.11,0.02,-0.02,37.38
508929,5.74,-8.42,0.83,-0.08,-0.02,-0.01,37.38
509458,5.45,-7.96,1.02,-0.09,0.00,-0.01,37.47
509985,5.67,-7.69,0.67,-0.38,0.23,-0.09,37.42
510515,5.74,-8.12,1.60,-0.11,0.12,-0.07,37.42
511041,7.03,-7.35,1.62,-0.08,-0.04,-0.12,37.42
511572,5.43,-7.97,1.44,-0.10,0.43,0.01,37.33
512097,6.24,-7.56,1.63,-0.13,-0.00,-0.04,37.42
512628,6.32,-7.67,1.46,-0.11,-0.03,-0.04,37.47
513156,5.16,-7.47,1.64,-0.12,0.13,-0.01,37.38
513688,6.50,-7.38,1.61,-0.20,0.20,-0.07,37.42
514212,6.09,-7.26,1.84,-0.16,0.30,-0.01,37.52
514743,7.22,-7.26,2.20,-0.02,-0.10,0.00,37.52
515268,6.38,-7.39,1.91,-0.11,0.07,-0.03,37.47
515797,6.03,-6.95,1.99,-0.10,0.03,-0.02,37.47
516324,6.84,-7.35,1.82,-0.12,0.04,-0.03,37.47
516857,7.27,-7.32,1.80,-0.13,0.11,-0.05,37.57
517385,5.76,-6.79,1.95,-0.11,-0.02,0.02,37.52
517915,8.30,-6.56,2.16,0.02,0.25,-0.20,37.42
518444,5.78,-9.99,5.88,-0.54,-0.39,-0.08,37.52
518974,4.19,-6.10,1.95,-0.41,-0.82,0.96,37.42
519505,0.10,-10.76,-0.16,1.17,-4.11,-0.32,37.52
520032,3.84,-8.40,-2.17,0.05,0.86,-1.53,37.47
520607,6.00,-7.86,-0.68,0.20,0.52,-0.65,37.57
521133,5.61,-7.69,1.56,-0.16,0.05,0.02,37.47
521664,5.71,-8.31,0.68,-0.04,-0.22,-0.04,37.52
522234,4.66,-8.37,0.20,-0.16,0.29,-0.00,37.61
